Virus name	Pango lineage	Accession ID	Collection date	Submission date	Location	Is complete?	N-Content
hCoV-19/org_sequence_0_rm/0	SARS-CoV-2-0m	ref0	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_1_rm/1	SARS-CoV-2-1m	ref1	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_2_rm/2	SARS-CoV-2-2m	ref2	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_3_rm/3	SARS-CoV-2-3m	ref3	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_6_rm/6	SARS-CoV-2-6m	ref6	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_9_rm/9	SARS-CoV-2-9m	ref9	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_12_rm/12	SARS-CoV-2-12m	ref12	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_15_rm/15	SARS-CoV-2-15m	ref15	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_18_rm/18	SARS-CoV-2-18m	ref18	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_21_rm/21	SARS-CoV-2-21m	ref21	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_24_rm/24	SARS-CoV-2-24m	ref24	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_27_rm/27	SARS-CoV-2-27m	ref27	2020-01-01	2020-01-01	NA / NA / NA	True	0
hCoV-19/org_sequence_30_rm/30	SARS-CoV-2-30m	ref30	2020-01-01	2020-01-01	NA / NA / NA	True	0


